customer_id,age,gender,city,signup_date,last_active_date,plan_type,monthly_fee,tenure_months,support_tickets,avg_session_time,discount_percent,marketing_channel,churned,total_revenue
10001,56,Female,Chennai,12/3/2022,12/29/2022,Basic,1214,25,5,15.75,15,Referral,Yes,30167.9
10002,46,Female,Mumbai,3/24/2021,1/25/2022,Premium,1268,22,1,37.16,20,Organic,Yes,27642.4
10003,32,Female,Mumbai,6/15/2023,8/10/2023,Basic,783,4,0,41.93,5,Referral,No,3092.85
10004,60,Male,Delhi,11/13/2022,7/8/2021,Standard,545,4,1,116.41,0,Organic,No,2180
10005,25,Female,Mumbai,2/17/2022,6/25/2021,Basic,1331,30,1,81.89,10,Ads,No,39796.9
10006,38,Male,Delhi,6/16/2021,7/15/2022,Standard,451,2,0,53.99,15,Email,No,834.35
10007,56,Male,Hyderabad,12/1/2022,9/4/2022,Basic,510,29,4,118.63,0,Referral,Yes,14790
10008,36,Female,Chennai,6/18/2021,12/23/2022,Basic,666,21,1,22.62,15,Organic,No,13886.1
10009,40,Male,Bangalore,3/12/2023,7/22/2022,Basic,1243,21,2,59.75,15,Organic,Yes,25916.55
10010,28,Male,Chennai,8/17/2021,5/23/2022,Basic,385,21,4,79.41,15,Email,No,8027.25
10011,28,Female,Delhi,9/1/2022,6/18/2022,Basic,1378,4,2,11.39,20,Email,No,5236.4
10012,41,Male,Delhi,1/2/2022,8/18/2023,Standard,745,1,4,87.45,20,Email,No,596
10013,53,Male,Chennai,6/12/2022,11/5/2021,Basic,919,26,2,16.48,15,Referral,No,23756.15
10014,57,Female,Pune,3/2/2023,12/21/2022,Basic,603,2,4,21.13,15,Organic,No,1115.55
10015,41,Female,Delhi,10/9/2022,8/7/2022,Standard,431,9,4,23.36,10,Referral,No,3835.9
10016,20,Female,Mumbai,6/22/2022,7/18/2021,Standard,1203,18,3,111.82,0,Referral,Yes,21654
10017,39,Male,Mumbai,5/14/2023,4/24/2022,Premium,1287,11,3,83.57,0,Ads,No,14157
10018,19,Male,Delhi,6/8/2022,8/7/2022,Standard,346,25,1,80.37,5,Email,No,8632.7
10019,41,Male,Delhi,3/13/2021,8/5/2022,Standard,1056,26,1,68.88,5,Ads,No,27403.2
10020,61,Male,Pune,10/7/2022,7/26/2021,Standard,989,35,3,38.67,5,Ads,No,34565.55
10021,47,Female,Mumbai,4/16/2021,12/29/2022,Premium,1347,3,2,76.4,20,Referral,No,3771.6
10022,55,Male,Delhi,1/2/2023,2/23/2022,Premium,986,35,3,52.17,20,Referral,Yes,34312.8
10023,19,Male,Delhi,6/4/2023,8/8/2021,Basic,1085,22,1,21.72,,Organic,No,23761.5
10024,38,Female,Pune,11/20/2022,5/29/2023,Basic,639,8,2,84.3,20,Ads,No,4984.2
10025,50,Female,Pune,10/9/2021,1/22/2023,Basic,711,15,2,19.9,5,Email,No,10629.45
10026,29,Female,Chennai,5/13/2021,8/23/2022,Standard,585,7,2,26.93,15,Ads,No,4007.25
10027,39,Male,Pune,6/18/2022,8/2/2023,Standard,1409,19,1,99.04,5,Organic,No,26700.55
10028,61,Male,Bangalore,9/26/2021,2/12/2022,Standard,1149,17,2,80.91,10,Ads,No,19418.1
10029,42,Male,Mumbai,2/16/2022,4/3/2023,Basic,729,1,2,77.56,15,Ads,No,619.65
10030,,Male,Chennai,11/4/2022,10/3/2022,Standard,330,29,1,53.09,20,Ads,No,9504
10031,59,Female,Bangalore,9/11/2022,6/16/2023,Premium,902,13,2,,15,Organic,No,11590.7
10032,45,Female,Delhi,3/2/2023,3/5/2023,Basic,739,29,4,84.38,10,Ads,No,21357.1
10033,33,Female,Delhi,5/15/2023,7/19/2021,Standard,1284,6,3,90.1,20,Referral,Yes,7447.2
10034,32,Female,Chennai,1/17/2023,3/21/2023,Basic,711,5,0,63.67,0,Ads,Yes,3555
10035,64,Male,Pune,1/18/2021,4/12/2022,Premium,827,34,4,116.47,,Referral,No,28076.65
10036,61,Female,Delhi,1/24/2023,7/18/2022,Premium,609,11,2,114.91,5,Ads,Yes,6668.55
10037,20,Male,Hyderabad,4/27/2021,8/8/2022,Standard,1248,9,2,52.43,10,Referral,No,11107.2
10038,54,Female,Chennai,3/9/2023,6/2/2021,Standard,973,9,2,99.37,10,Ads,No,8659.7
10039,24,Female,Bangalore,3/5/2023,9/19/2023,Premium,736,8,3,67.48,5,Email,No,5851.2
10040,38,Male,Chennai,5/24/2021,10/23/2021,Standard,1003,3,0,63.85,15,Referral,No,2858.55
10041,26,Male,Mumbai,12/18/2022,6/1/2022,Basic,962,13,1,11.32,0,Email,No,12506
10042,56,Other,Pune,7/5/2022,7/25/2022,Standard,664,19,1,71.01,0,Referral,Yes,12616
10043,35,Male,Pune,10/28/2022,12/25/2022,Basic,1222,34,1,108.57,10,Ads,No,41425.8
10044,21,Male,Chennai,11/19/2022,7/25/2023,Basic,412,32,2,94.72,10,Organic,No,13142.8
10045,42,Male,Delhi,1/23/2023,12/13/2022,Premium,475,16,1,95.43,15,Ads,No,7528.75
10046,31,Female,Delhi,2/26/2022,9/22/2023,Standard,1472,18,1,23.39,10,Organic,No,26348.8
10047,26,Female,Hyderabad,6/17/2023,8/18/2022,Basic,1235,14,1,46.22,,Email,Yes,17290
10048,43,Female,Hyderabad,1/4/2022,8/8/2022,Basic,681,30,3,31.82,5,Organic,No,20395.95
10049,,Male,Pune,10/8/2022,3/5/2023,Basic,605,2,0,41.33,0,Organic,No,1210
10050,37,Female,Hyderabad,7/12/2022,12/7/2022,Basic,901,13,1,71.65,15,Organic,No,11577.85
10051,45,Male,Bangalore,2/19/2021,7/27/2021,Basic,642,27,1,46.95,5,Organic,No,17301.9
10052,64,Female,Hyderabad,11/9/2022,12/14/2022,Standard,455,17,3,69.48,5,Email,No,7712.25
10053,24,Female,Bangalore,4/16/2021,11/25/2021,Basic,1011,31,4,55.43,0,Organic,No,31341
10054,61,Male,,8/4/2021,3/20/2022,Standard,1378,15,1,37.96,5,Ads,No,20601.1
10055,25,Male,Pune,10/20/2022,7/16/2021,Basic,702,20,2,15.97,5,Referral,No,14004.9
10056,64,Male,Pune,3/1/2022,11/17/2021,Premium,913,5,4,107.56,10,Referral,No,4473.7
10057,52,Male,Bangalore,3/13/2021,2/26/2022,Basic,1096,7,2,6.31,5,Ads,No,7617.2
10058,31,Male,Chennai,4/22/2023,7/22/2022,Basic,922,18,0,5.19,15,Email,No,16457.7
10059,34,Female,Pune,2/24/2023,9/26/2023,Basic,902,11,0,100.08,5,Ads,Yes,9876.9
10060,53,Female,Chennai,1/29/2023,10/17/2021,Standard,476,32,2,119.63,10,Ads,No,15184.4
10061,57,Male,Delhi,3/22/2022,2/2/2022,Standard,748,27,4,88.62,20,Organic,Yes,20046.4
10062,21,Male,Bangalore,7/5/2021,10/26/2021,Basic,1042,26,0,6.76,20,Organic,No,26883.6
10063,19,Male,Pune,3/11/2021,1/16/2022,Basic,600,28,0,31.07,15,Email,Yes,16710
10064,23,Female,Mumbai,5/30/2021,8/1/2023,Basic,1006,2,0,116.76,15,Email,No,1861.1
10065,59,Male,Delhi,9/3/2021,2/27/2023,Standard,606,20,2,97.99,5,Referral,No,12089.7
10066,21,Female,Chennai,2/13/2023,5/5/2023,Standard,1050,4,1,70.18,5,Email,No,4147.5
10067,46,Female,Pune,6/22/2022,6/9/2022,Basic,1168,13,3,32.24,20,Ads,No,14950.4
10068,35,Female,Bangalore,10/14/2022,8/19/2021,Basic,513,24,1,6.65,20,Referral,No,12209.4
10069,43,Female,Hyderabad,4/9/2021,1/27/2023,Basic,782,29,3,7.4,0,Referral,No,22678
